shop_num_1,shop_name,shop_addr_1,shop_addr_2,shop_city,shop_state,shop_zip,shop_addr_1_m,shop_addr_2_m,shop_city_m,shop_state_m,shop_zip_m,shop_phone_1,shop_phone_2,shop_email,shop_website,shop_owner,shop_hours,shop_mdse
6136,Dothan Sewing Center,2797 Ross Clark Circle,,Dothan,AL,36301,,,,,,(334) 794-3177,,esewinginc@yahoo.com,www.dothansewingcenter.com,Jim Woodham,"M-F 9-6, Sa 9-4","M,ME,Q"
11846,Sewing Machines Etc,8419 Kingston Pike,,Knoxville,TN,37919,8419 Kingston Pike,,Knoxville,TN,37919,(865) 690-7770,,knox@sewingmachinesetc.com,http://www.sewingmachinesetc.com,Gayla,"M-F 10-5, Sa 10-3","M,ME,Q"
6375,Cozy Creative Center,756 Jamacha Road,,El Cajon,CA,92019,,,,,,(619) 670-0652,,peter@paradisesewing.com,https://www.cozycreativecenter.com,Peter Chang,M-Sa 10-5,"M,ME,Q"
11301,Sew Many Things Sewing Center ,37095 S. Groesbeck Highway,,Clinton Township,MI,48036,37095 S. Groesbeck Highway,,Clinton Township,MI,48036,(586) 790-5601,,sewmanythingsle@yahoo.com,https://www.sewmanythingssc.com,Nancy Dufoor,"M-F 10-5, Sa 10-4, Su 12-4","M,ME,Q"
5451,The Quilt Crossing,10959 W. Fairview Avenue,,Boise,ID,83713,5725 W Fairview Ave,,Boise,ID,83706,(208) 376-0087,,Customerservice@quiltcrossing.com,http://www.quiltcrossing.com,Laura Reardon,"M-Sa 10-6, Su 12-5","M,ME,Q"
11243,Sew And Quilt Store,1514 S. 31st Street,,Temple,TX,76504,,,,,,(254) 774-9797,,temple@sewandquiltstore.com,www.sewandquiltstore.com,Jeremiah Trumble,M-F 10-5:30,"M,ME,Q"
5990,Bernina Store and Sew Much More,7081 West Blvd.,,Boardman,OH,44512,7081 West Blvd.,,Boardman,OH,44512,(330) 726-9396,,joyce@berninastore.com,https://www.berninastore.com,Joyce Martin,"Tues -F 10-5, Sa 10-3","M,ME,Q"
17223,Quality Sewing & Vacuum,3717-B S. Meridian Street,,Puyallup,WA,98373,,,,,,(253) 841-4288,,puyallup.store@qualitysewing.com,https://www.qualitysewing.com/location-puyallup,Carrie Estrada (Marketing Manager),"M-F 10-6, Sa 10-5","M,ME,Q"
6537,Between Stitches,"28780 Old Town Front Street, #A2",,Temecula,CA,92590,28780 Old Town Front Street #A2,,Temecula,CA,92590,(951) 694-9576,,info@between-stitches.com,https://www.between-stitches.com,Cindee Ferris,M-Sa 10-3,"M,ME,Q"
14946,The Broken Needle,219 NC Highway 98E,,Bunn,NC,27508,PO BOX 280,,Bunn,NC,27508,(919) 497-0828,,wendy@thebrokenneedle.com,https://www.thebrokeneedle.com,Matt,Tu-Sa 10-5,"M,ME,Q"
13916,Moore's Sewing Center,"2315 E. Imperial Highway, Suite B",,Brea,CA,92821,,,,,,(714) 279-6830,,customerservice@moores-sew.com,www.moores-sew.com,George Moore,M-Sa 9-5,"M,ME,Q"
13853,Patches & Scraps,"4400 N. Midland Dr., Suite 400",Suite 400,Midland,TX,79707,PO Box 53343,,Midland,TX,79710,(432) 695-9961,,midlandpatchesandscraps@gmail.com,https://www.patchesandscraps.com,Lisa Graham,by appt only,"M,ME,Q"
13791,Southern Tier Sewing Center,800 Valley Plaza Drive,Suite 2,Johnson City,NY,13790,800 Valley Plaza Drive,,Johnson City,NY,13790,(607) 797-7022,,support@southerntiersewingcenter.com,https://www.southerntiersewingcenter.com,Justine Layman,"M-F 10-5, Sa 10-1","M,ME,Q"
12736,Bernina Sewing Center,443 State Route 34,,Matawan,NJ,7747,443 State Route 34 Ste A,,Matawan,NM,07747-9506,(732) 566-2121,,Berninactr@aol.com,www.bernina-nj.com,Cathy & Mike Waters,M-Sa 10:30-5,"M,ME,Q"
9224,AllBrands.com Fabric Boutique,"1701 Old Minden Road, Suite 11",,Bossier City,LA,71111,"1701 Old Minden Road, Suite 11",,Bossier City,LA,71111,(318) 742-0047,,marketing@allbrands.com,http://www.fabricboutiquebc.com,Shirley Warren ,"M-F 10-5, Sa 10-4","M,ME,Q"
14599,Snyder's Sewing Center,1550 Kenneth Road,,York,PA,17408,,,,,,(717) 755-5833,,sewunforgettable@comcast.net,https://www.snyderssewingcenter.com,John and Anita,"Tu-F 9:30-5, Sa 10-2","M,ME,Q"
8742,Precision Sewing Machine Co.,3997 Highway 190 E. Service Road,,Covington,LA,70433,,,,,,(985) 249-6156,(800) 487-7397,sammy@sewingmachineoutlet.com,www.sewingmachineoutlet.com,Sam and Kellie Gagliano,M-F 10-5,"M,ME,Q"
13658,Mel's Sewing & Fabric Center,600 E. 1st Street,,Tustin,CA,92780,600 E. 1st Street,,Tustin,CA,92780,(714) 669-0583,,info@melssewing.com,http://www.melssewing.com,Perry Lytton ,Tu-Sa 9:30-5,"M,ME,Q"
5830,Calico Station,1857 Wells Road,,Orange Park,FL,32073,,,,,,(904) 269-6911,,info@CalicoStation.com,www.calicostation.com,Jennifer Brannon,"Tu-Sa 10-5, Su 12-4","M,ME,Q"
11441,The Sewing Box Quilt Shop,144 11th Avenue,ADA accessible; RV parking,Meyersdale,PA,15552,144 11th Avenue,,Meyersdale,PA,15552,(814) 701-2635,,info@sewingboxquiltshop.com,http:/www.sewingboxquiltshop.com,April Hershberger,"M-F 10-5, Sa 10-3","M,ME,Q"
17835,LaLa's Quilt Shoppe,21 N Butch Arthur Rd,,Coldspring,TX,77331,Po Box 442,21 N Butch Arthur Rd,Coldspring,TX,77331,(936) 653-8222,,ladonyce@lalasquiltshoppe.com,https://www.facebook.com/LalasQuiltShoppe/,LaDonyce Hamilton,"Tuesday-Friday 10-4:30, Saturday 9-12","M,ME,Q"
16546,Quilts N Fabrics,3106 N 18750 W,,Mt. Home,UT,84051,PO Box 617,,Altamont,UT,84001,(435) 454-3709,,info@quilts-n-fabrics.com,https://www.quilts-n-fabrics.square.site,Deb Lindsay,"M-Th 10-5, F 10-2","M,ME,Q"
7695,Loving Stitches,7076 Ramsey Street,,Fayetteville,NC,28311,7076 Ramsey Street,,Fayetteville,NC,28311,(910) 630-3912,,quilts4u@lovingstitches.net,https://www.lovingstitches.net,Carol & John Watkins,M-Sa 9-5,"M,ME,Q"
5625,Mystic Maine Quilts,5 River Road,,Chelsea,ME,4330,5 River Road,,Chelsea,ME,4330,(207) 582-0312,,mysticmequilts@aol.com,https://www.mysticmequilts.com,Roxy Getchell,M-Sa 10-4,"M,ME,Q"
8286,Eddie's Quilting Bee & House of Sewing,480 S. Mathilda Avenue,,Sunnyvale,CA,94086,480 S. Mathilda Avenue,,Sunnyvale,CA,94086,(408) 830-9505,,info@eddiesquiltingbee.com,https://eddiesquiltingbee.com/,Eddie Leone ,Tu-Sa 11-4,"M,ME,Q"
17256,Sew Suite Studio,"4375 Bluffton Parkway, Suite A",,Bluffton,SC,29910,"4375 Bluffton Parkway, Suite A",,Bluffton,SC,29910,(843) 707-4667,,infobluffton@sewsuitestudio.comm,https://www.sewsuitestudio.com,Becky Robinson,"T-F 10-5,Sa 10-3","M,ME,Q"
11477,Ana's Sewing Studio,"1230 W. College Avenue, Suite D",,Appleton,WI,54914,,,,,,(920) 734-8262,,anassewingstudio@gmail.com,https://www.anasewingstudio.com,Ana Rivera,"MTuWF 10-5, Th 10-7, Sa 10-4, Su 10-2","M,ME,Q"
16996,Sew In Stitches,"777 Yellowstone Avenue, Suite B",,Pocatello,ID,83201,"777 Yellowstone Avenue, Suite B",,Pocatello,ID,83201,(208) 242-3633,,info@sewinstitchesshoppe.com,https://www.sewinstitchesshoppe.com,Becky Malarski,W-SA 10-5,"M,ME,Q"
16153,The Sewing Works,109 E. Front Street,,Merrill,OR,97633,PO Box 848,,Merrill,OR,97633,(541) 798-1100,,thesewingworks@gmail.com, ,Corrine Douglas,"M-F 10-4,  Sat 10-2","M,ME,Q"
8253,Amy Baughman Sew and Quilt,"100 Perry Highway (Route 19), Suite 120",,Harmony,PA,16037,"20215 Route 19, Suite 106",,Cranberry Township,PA,16066,(724) 779-1390,,adbaughman@comcast.net,http://www.amybaughman.com,Amy Baughman,"TuW 10-5, Th 10-7, FSa 10-4","M,ME,Q"
13739,Sew Crazy,5520 25th Street,,Columbus,IN,47203,5520 25th Street,,Columbus,IN,47203,(812) 418-8200,,info@sewcrazycolumbus.com,http:www.sewcrazycolumbus.com,Tim & Angie Behrman,"M-F 10-5, Sa 10-3","M,ME,Q"
9906,Sew Creative,5143 S. 48th Street,,Lincoln,NE,68516,5143 S 48th St Ste A,,Lincoln,NE,68516-2246,(402) 489-6262,,sewvacservice@neb.rr.com,www.sewcreative-ne.com,Barb,MTuWF 10-5 Th 10-7 Sa 10-3,"M,ME,Q"
13363,Calico Country Sewing & Quilting Center,"3401 Park Avenue, Suites 4-5-6",,Paducah,KY,42001,"3401 Park Ave., Ste 4-5-6",,Paducah,KY,42001,(270) 444-0301,,calicocountrywf@frontier.com,https://www.calicocountry.com,Chuck Clark,"M-F 10-4, Sa 10-3","M,ME,Q"
6065,Fashion Fabrics,"280 W. Coleman Blvd., Suite C",,Mt. Pleasant,SC,29464,"280 W. Coleman Blvd., Suite C",,Mt. Pleasant,SC,29464,(843) 884-5266,,sewcreatively@comcast.net,https://www.facebook.com/Fashion-Fabrics-of-Mt-Pleasant-404949149559050/,Bill & Cathy Buck,M-Sa 10-5,"M,ME,Q"
6599,Cortez Quilt Company & More,40 W. Main Street,,Cortez,CO,81321,,,,,,(970) 565-7541,,info@cortezquiltcompany.com,https://www.cortezquiltcompany.com,Aimee King,M-F 10-530 Sa 10-4,"M,ME,Q"
5697,Emma's Quilt Cupboard and Sewing Center,319 E. Central Street,,Franklin,MA,2038,12 Main Street,,Franklin,MA,2038,(508) 520-0234,,cyndirich@emmasquiltcupboard.com,www.emmasquiltcupboard.com,Cyndi Rich,"M-Sa 10-6, Su 12-4","M,ME,Q"
5554,Close to Home,277 Hebron Avenue,,Glastonbury,CT,6033,,,,,,(860) 633-0721,,rgattinella@yahoo.com,www.closetohomestores.com,The Gattinellas (Paul),"M-F 9:30-5, Sa 9:30-4","M,ME,Q"
5671,Byrne Sewing Connection,422 E. Butler Avenue,,New Britain/Doylestown,PA,18901,422 E. Butler Avenue,,New Britain/Doylestown,PA,18901,(215) 230-9411,(888) 302-9411,info@byrnesewing.com,www.byrnesewing.com,Jess Kook-Whitley,"Tu-Th 10-7, FSa 10-5","M,ME,Q"
6262,Hickory Hill Quilts,2998 Park Avenue,,Hot Springs,AR,71901,2998 Park Avenue,,Hot Springs,AR,71901,(501) 318-2739,,info@hhqsewingcenter.com,https://www.hhqsewingcenter.com/,Amy L. Hoyt,"M-F 10-5, Sa 10-4","M,ME,Q"
9058,Carolina Sew-N-Vac ,6320-125 Capital Blvd.,,Raleigh,NC,27616,,,,,,(919) 873-1981,,carolinasewnvacraleigh@gmail.com,www.carolinasewnvac.com,David and Kim Nipper,"Tu-F 10-5, Sa 10-2","M,ME,Q"
13860,Sew It Fabulous,"111 Parkway Drive, Suite 101",,Boerne,TX,78006,107 Canyon Ridge Dr,,Boerne,TX,78006,(830) 331-2886,(830) 377-7502,sewitfab@gmail.com,http://www.sewitfabulous.com,Tish Smith,"Tu-F 10-5, Sa 10-3","M,ME,Q"
11720,Quilters Quest,7305 Lemont Road,,Downers Grove,IL,60516,7305 Lemont Road,,Downers Grove,IL,60516,(630) 969-2205,(800) 988-2205,info@quiltersquest.com,https://www.quiltersquest.com,Robert Cornella,M-Sa 9:30-4,"M,ME,Q"
8407,Bigsby's Sewing Center,13200 Watertown Plank Road,,Elm Grove,WI,53122,13200 Watertown Plank Road,,Elm Grove,WI,53122,(262) 785-1177,,bigsbyssewing@sbcglobal.net,https://www.bigsbyssewingcenter.com,Rosemary Malzahn,M-Sa 10-4,"M,ME,Q"
14315,Faye's Fabric Sew and Vac,3617 McFarland Blvd.,,Northport,AL,35476,,,,,,(205) 339-0444,,fayessewandvac@bellsouth.net,www.fayessewandvac.com,Tuffy,M-F 9-4,"M,ME,Q"
9672,Marietta's Quilt & Sew,3421 N. Industrial Drive,,Simpsonville,SC,29681,3421 N. Industrial Drive,,Simpsonville,SC,29681,(864) 962-5353,,info@mariettasqas.com,https://www.mariettasquiltandsew.com,Charles Leeson,"M-F 10-5:30, Sa 10-4","M,ME,Q"
10976,D & J Sewing,"2700 Clovis Avenue, Suite 101",,Clovis,CA,93612,"2700 Clovis Avenue, Suite 101",,Clovis,CA,93612,(559) 225-4927,,djsew@comcast.net,https://www.djsew.com,Becky Luena,"M-F 9:30-5:30, Sa 9:30-4","M,ME,Q"
7307,Sew n' Sew,1881 N. Silverspring Drive,,Appleton,WI,54915,1881 N Silverspring Dr,,Appleton,WI,54913-5408,(920) 830-9372,,sewnsew276@att.net,www.sewnsewwisconsin.com ,Bonita & Samuel Welsch,"MTuWF 9-5, Th 10-7 Sa 10-4","M,ME,Q"
7390,Smith-Owen Sewing & Quilting,4051 Plainfield Avenue NE,,Grand Rapids,MI,49525,4051 Plainfield NE,,Grand Rapids,MI,49525,(616) 361-5484,,smitho@iserv.net,https://www.smithowensew.com,Tim and Cindy Owen,"MW 9-8, TuThF 9-5, Sa 10-4","M,ME,Q"
5677,Country Corner Quiltshop,10872 Highway 392,,Harrison,AR,72601,10872 Highway 392 W,,Harrison,AR,72601-7772,(870) 437-2299,,steve@countrycornerquiltshop.com,https://www.countrycornerquiltshop.com,Steven R. Miller,Tu-Sa 8:30-4:30,"M,ME,Q"
6539,AAA Sewing and Fabric ,3873 Pacific Coast Highway,,Torrance,CA,90505,,,,,,(310) 257-1744,,aaasewing@aaasewingandfabric.com,www.aaasewingandfabric.com,Salima Jaffer,Tu-Sa 10-4,"M,ME,Q"
5927,The Quilterie,126 S. Main Street,,Celina,OH,45822,,,,,,(419) 586-0910,,quilterie@hotmail.com,https://www.facebook.com/thequilterie,Valerie E Vermillion,"MWF 10-6, Tu 10-8, Sa 10-2","M,ME,Q"
16458,Singer Sewing Center of Corpus Christi,6034 S. Padre Island Drive,,Corpus Christi,TX,78412,6034 S. Padre Island Drive,,Corpus Christi,TX,78412,(361) 991-5151,,susan@ccsews.com,https://www.ccsews.com,Susan Glass,M-Sa 9-6,"M,ME,Q"
8905,Olde City Quilts,339 High Street,,Burlington,NJ,8016,,,,,,(609) 747-0075,,info@oldecityquilts.com,www.oldecityquilts.com,Judy and Rob Engime,"TuFSa 10-5, WTh 10-7","M,ME,Q"
9934,Fabric Carousel,1101 12th Street,,Huntsville,TX,77340,,,,,,(936) 295-8322,,fcarousel@att.net,http://www.fabriccarousel.com,Doris Collins,"M-F 9:30-5:30, Sa 9:30-3","M,ME,Q"
9268,Stitching House and Sew Much More,255 King Schoolhouse Road,,Buckhannon,WV,26201,,,,,,(304) 472-8188,,thestitchinghousellc@gmail.com,https://www.facebook.com/people/The-Stitching-House-and-Sew-Much-More-LLC/100057457839627/?ref=bookmarks,Linda & Beth Childers,by appt only,"M,ME,Q"
12457,Angels Sewing and Quilting,"236 N. Broadway, Unit G",,Salem,NH,3079,"236 N. Broadway, Unit G",Unit G,Salem,NH,3079,(603) 898-0777,,carol@angelssewing.com,https://www.anglessewing.com,Carol Lawrence,"TuThF10-4, W 10-5, Sa 10-3, Su 10-2","M,ME,Q"
7630,Adirondack Quilts LLC ,22 5th Street,,South Glens Falls,NY,12803,22 5th Street,,South Glens Falls,NY,12803,(518) 615-0134,,info@adirondackquilts.com,http://www.adirondackquilts.com,Shannon & Bill Duell,Tu-Sa 9-5,"M,ME,Q"
12860,Happy Little Quilt Shop,112 E. Third Street,,Imlay City,MI,48444,,,,MI,,(810) 721-7037,,info@happylittlequiltshop.com,https://www.happylittlequiltshop.com,Kirsten Clark,"Tues-Fri 10-4, Sat 10-2","M,ME,Q"
10324,A to Z Quilting,826 State Street,,Quincy,IL,62301,826 State Street,,Quincy,IL,62301,(217) 223-9280,,atozquilting@att.net,http://www.atozquilting.com,Mary Ann Ballard,"M-Th 9-5, F, Sa 9-3","M,ME,Q"
7745,Simon's Sewing,3990 Fulton Drive NW,,Canton,OH,44718,,,,,,(330) 484-5480,,angelics@sbcglobal.net,https://www.angelics.net/,Ed and Terry Simon,"Tu-F 9:30-5:30, 1st and 3rd Sa 9:30-1","M,ME,Q"
6580,The Fig Leaf,2834 S. College Avenue,,Ft. Collins,CO,80525,2834 S. College Avenue,,Ft. Collins,CO,80525,(970) 495-1766,,thefigleaf@thefigleaf.biz,https://www.thefigleafquilting.com,Rob & Laura Shotwell,M-Sa 10-6,"M,ME,Q"
17846,Varsity Vacuums and Stitches,907 & 909 Varsity Drive,,Tupelo,MS,38801,907 Varsity Drive,,Tupelo ,MS,38801,(662) 842-3342,,Shop@varsityvacuums.com,https://www.varsityvacuumsandstitches.com/,Cathy Davis,"M-F 9-5, Wed & Sa 9-2","M,ME,Q"
7531,The Sewing Palace,124 E. Lyndale Avenue,,Helena,MT,59601,124 E. Lyndale Avenue,,Helena,MT,59601,(406) 443-5724,,palace@thesewingpalacebernina.com,https://www.thesewingpalacebernina.com/,Jenny Yannone,"M-F 10-6, Sa 10-5, Su 12-4","M,ME,Q"
10860,Pine Needles Quilt & Sew,"1300 Salem Road SW, Suite 350",,Rochester,MN,55902,,,,,,(507) 226-8480,,info@pnqs.net,http://www.pnqs.net,Marcia Nagel & Suzie Nagel,"M-F 10-5, Sa 10-4","M,ME,Q"
6921,Times Square Sewing Complex,306 North Westgate Avenue,,Jacksonville,IL,62650,306 North Westgate Avenue,,Jacksonville,IL,62650,(217) 245-5445,,timessquare@mchsi.com,https://www.timessquaresewing.com,Sue Fox,"M-F 10-5, Sa 10-3","M,ME,Q"
18134,Sewingmachine.com,811 N. 3rd Avenue,,West Point,GA,31833,811 N. 3rd Avenue,,West Point,GA,31833,(706) 645-1060,,deb@sewingmachine.com,https://sewingmachine.com/,,"M-F 8-5, Sa 8-1","M,ME,Q"
11074,Aloha Sewing & Vacuum,7550 E. Main Street,,Hillsboro,OR,97123,7550 E. Main Street,,Hillsboro,OR,97123,(503) 649-6050,,melissa@alohavacnsew.com,https://www.alohavacnsew.com,Kimberly Turner,"M-F 9-5, Sa 9-4","M,ME,Q"
12080,Gigi's Fabric Shop,800 W. Lumsden Road,,Brandon,FL,33511,800 W. Lumsden Rd,,Brandon,FL,33511,(813) 661-9000,,sewingmachines411@gmail.com,http://www.gigisfabricshop.com/,Carmen Wilson,"T-F 10-5, Sa 10-2","M,ME,Q"
14868,Derrel's of Pensacola,6705 N. Davis Highway,,Pensacola,FL,32504,6705 N. Davis Highway,,Pensacola,FL,32504,(850) 438-5444,,susan@sewinginpensacola.com,http:/www.sewinginpensacola.com,Susan Kline,"M-F 10-5, Sa 10-3","M,ME,Q"
18007,Parsons Sewing Connection,2005 Riverdale Street,,West Springfield,MA,1089,,,,,,(413) 301-9656,,sewingwithparsons@yahoo.com,sewingwithparsons.com,Anne Marie Wheliham,"M-F 10-5,  Sa 10-3","M,ME,Q"
16529,The Quilters Garden Shop,"405 Sagamore Parkway S, Suite B15",,Lafayette,IN,47905,"405 Sagamore Parkway S, Suite B15",,Lafayette,IN,47905,(765) 463-6550,,jeri@quiltersgardenshop.com,https://quiltersgardenshop.com/,Jerilyn Bosworth-Parker,Tu-Sa 10-5,"M,ME,Q"
11233,Crazy Redhead Quilting,117 First Avenue W,,Newton,IA,50208,117 First Ave W,,Newton,IA,50208,(641) 787-9122,,ljochems@yahoo.com,http://www.crazyredheadquilting.com,Laura Jochems,"W-F 10-4, Sa 10-2","M,ME,Q"
11950,S & R Sewing & Vacuum Center,628 14th Street SE,,Decatur,AL,35601,,,,,,(256) 350-0444,,tony@sewingcircles.com,www.sewingcircles.com,Tony Coulson,"M-F 9-5, Sa 9-3","M,ME,Q"
18258,Family Sewing,"4950 Wilson Avenue SW, Suite 70",,Grandville,MI,49418,,,,,,(616) 538-8885,,info@familysewing.com,https://www.familysewing.com,,"MTuTh 10-5, Sa 10-3","M,ME,Q"
5358,The Cotton Patch,1025 Brown Avenue,,Lafayette,CA,94549,1025 Brown Avenue,,Lafayette,CA,94549,(925) 284-1177,,cottonpatchca@gmail.com,http://www.quiltusa.com,Carolie Hensley,M-Sa 10-3,"M,ME,Q"
7524,Quilt Sampler,1802 S. Glenstone Avenue,,Springfield,MO,65804,1802 S. Glenstone Avenue,,Springfield,MO,65804,(417) 886-5750,,info@quiltsampler.com,https://www.quiltsampler.com,Joan DeForest,"Tu-F 10-5, Sa 10-4","M,ME,Q"
13520,Claudson's Sew & Soak,1401 Adams Avenue,,La Grande,OR,97850,,,,,,(541) 963-6402,,sewandsoak@eoni.com,www.claudsons.com,Greg & Sandi Gross,"M-F 10-5, Sa 10-3","M,ME,Q"
6072,Top Shelf Quilts,"19081 Old LaGrange Road, Suite 100",,Mokena,IL,60448,"19081 Old LaGrange Road, Suite 100",,Mokena,IL,60448,(815) 806-1694,,info@topshelfquilts.com,https://www.topshelfquilts.com,Michael Pawlisz and Ron Conran ,"TuThFSa 9:30-4:30, W 9:30-6:30, Su 11-3, Mon Closed","M,ME,Q"
10918,Sewing Concepts,110 S. Johnson Street,,Woodstock,IL,60098,,,,,,(815) 338-7754,,Sewingconcepts@sbcglobal.net,www.sewingconcepts.com,Duane and Lynda Remmers,"M-F 10-5:30,  Sa 9-4","M,ME,Q"
7282,Sew 'n Save of Racine,"3701 Durand Avenue, Suite 335",,Racine,WI,53405,,,,,,(262) 554-6445,,hello@sewnsaveofracine.com,www.sewnsaveofracine.com,Jim Deibler,"M-F 10-5:30, Sa 10-3","M,ME,Q"
17678,Montavilla Sewing Center - Lake Oswego,429 1st Street,,Lake Oswego,OR,97034,429 1st Street,,Lake Oswego,OR,97034,(503) 635-1353,,lakeoswego@montavillasewing.com,https://www.montavillasewing.com/,Brett Moore,M-Sa 10-5,"M,ME,Q"
13454,Sew What? Fabric Shoppe,7 W. Front Street,,Addison,NY,14801,7 W. Front Street,,Addison,NY,14801,(607) 359-4308,,sewwhatfabricshoppe@yahoo.com,http://www.sewwhatfabricshoppe.com,Karen and Angie,"Tu-Th 10-4, F 10-2, Sa 9-1","M,ME,Q"
13056,Ready Set Sew!,3444 Ringgold Road,,Chattanooga,TN,37412,,,,,,(423) 629-6411,,info@readysetsewtn.com,https://www.readysetsewtn.com,Melanie Coakley,"Tu-F 10-5, Sa 10-3","M,ME,Q"
6431,Meissner Sewing & Vacuum Centers,"98 Clarksville Road, Suite 130",,Folsom,CA,95630,,,,,,(916) 984-7071,,folsom@meissnersewing.com,www.meissnersewing.com,Jim Meissner,TU-SA 10-5,"M,ME,Q"
11790,Vacman and Bobbin,225 Daniel Webster Highway,,Belmont,NH,3220,PO Box 910,,Winnisquam,NH,3289,(603) 528-6759,,vacmannh@gmail.com,www.vacmanandbobbin.com,John and Jeff Anstey,"Tu-F 9-5:30, Sa 9-4","M,ME,Q"
11949,S & R Sewing & Vacuum Center,"1407 Memorial Parkway NW, Suite #1",,Huntsville,AL,35801,,,,,,(256) 536-5696,,tony@sewingcircles.com,www.sewingcircles.com,Tony Coulson,"M-F 9-5, Sa 9-3","M,ME,Q"
17321,Ms. Sew N' Sew's Quilt Shop,2118 S. Azalea Drive,,Wiggins,MS,39577,2118 S. Azalea Drive,,Wiggins,MS,39577,(601) 928-5885,,deana@mssewnsewsquiltshop.com,https://www.mssewnsewsquiltshop.com,Deana,"T-F 9-5:30, Sa 9-4","M,ME,Q"
16835,Walker Quilt Co.,27 Macon Center Drive,,Franklin,NC,28734,27 Macon Center Drive,,Franklin,NC,28734,(828) 349-3433,,walkerquiltco@gmail.com,https://www.walkerquiltco.com,Jessica Powell,"Tu-F 10-5, Sa 10-2","M,ME,Q"
17679,Montavilla Sewing Center,971 NE Kelly Avenue,,Gresham,OR,97030,971 NE Kelly Avenue,,Gresham,OR,97030,(503) 661-2102,,gresham@montavillasewing.com,https://www.montavillasewing.com/,Brett Moore,M-Sa 10-5,"M,ME,Q"
11937,"Sewing Center, Etc.","813 Oak Street, Suite 4",,Conway,AR,72032,"813 Oak Street, Suite 4",,Conway,AR,72032,(501) 205-1975,,sewingcenteretc@yahoo.com,https://www.sewingcenteretc.com,Shirley Blythe,"M-F 10-5:30, Sa 10-2","M,ME,Q"
8928,Quintessential Quilts LLC,940 E. Main Street,,Reedsburg,WI,53959,,,,,,(608) 524-8435,,qquiltsreedsburg@qquilts.com ,http://www.qquilts.com,Linda Kirby,"M-Sa 9-5, Su 12-4","M,ME,Q"
17938,Keaton Quilts,"150 W. 28th Street, #804",8th Floor,New York,NY,10001,,,,,,(646) 974-1717,,info@keatonquilts.com,info@keatonquilts.com,Justin Stafford,"Tu,Th, F 11-6, W 11-7, Sa 10:30-5:30","M,ME,Q"
16609,County Line Quilts LLC,"22321 Audrain Road, #856",,Mexico,MO,65265,22321 Audrain Road #856,,Mexico,MO,65265,(573) 590-1661,,christi.hoffman@yahoo.com,https://www.facebook.com/countylinequilts/,Christi Hoffman,"M-F 9-4, Sa 9-12","M,ME,Q"
17333,Quilted Corners,224 W. Main Street,,Farmington,NM,87401,,,,,,(505) 325-9358,,todd@quiltedcorners.com,https://www.facebook.com/QuiltedCorners/,Todd and Aimee King,M-F 9-6 SA 10-4,"M,ME,Q"
10908,Discount Fabric Warehouse,3-3215 Kuhio Highway,,Lihue,HI,96766,,,,,,(808) 246-2739,,dfwkona@hawaiiantel.net,www.Discountfabricwarehouse.com,Bill Miller,"M-Sa 9:30-5:30, Su 10-4","M,ME,Q"
16559,Murphy Sewing Machine Co.,420 Triplett Street,,Owensboro,KY,42303,,,,,,(270) 684-5566,,murphys1945@gmail.com,http://www.murphysew.com,John Docimo,"M-F 9-5, Sa 9-12","M,ME,Q"
12344,AllBrands.com,4029 Veterans Memorial Blvd.,,Metairie,LA,70002,4029 Veterans Memorial Blvd.,,Metairie,LA,70002,(504) 888-4952,,neworleans@allbrands.com,https://www.allbrands.com,John & Annette Douthat,"M-F 9-5, Sa 10-4","M,ME,Q"
8397,Atlanta and Augusta Sewing Center,"50 Ernest Barrett Parkway, Suite 4005",,Marietta,GA,30066,"50 Ernest Barrett Parkway, Suite 4005",,Marietta,GA,30066,(770) 428-5522,,info@atlantasewing.com,https://www.atlantasewing.com,Nick Meabon,"Tu-F 10-6, Sa 10-4","M,ME,Q"
7626,Aurora Sewing Center,659 Main Street,,East Aurora,NY,14052,659 Main St Ste A,,East Aurora,NY,14052,(716) 652-2811,,scottp@aurorasewingcenter.com,https://www.aurorasewingcenter.com,Scott Perry,"M-F 10-5:30, Sa 9-3","M,ME,Q"
15206,All Brands Sewing Center,8079 W. Broad Street,,Richmond,VA,23294,,,,,,(804) 270-1882,,gayla@allbrandssewvac.com,www.allbrandssewvac.com/,Gayla and Erick Jones,"Tu-F 9:30-5, Sa 9:30-2","M,ME,Q"
7281,Olive Juice Quilts,1258 County Road PH,,Onalaska,WI,54650,,,,WI,,(608) 782-3257,,info@olivejuicequilts.com,http://www.olivejuicequilts.com,Diane,M-Sa 10-5,"M,ME,Q"
10034,Completely Quilted,315 E. Grand Avenue,,Ponca City,OK,74601,315 E. Grand Avenue,,Ponca City,OK,74601,(580) 718-9300,,nancy@completelyquilted.com,https://www.cqsew.com,Suzy Taylor,"M-F 10-5, Sa 10-4","M,ME,Q"
14078,Sewing Solutions,"1505 S. Glenburnie Road, Suite G",,New Bern,NC,28562,"1505 S. Glenburnie Road, Suite G",,New Bern,NC,28562,(252) 633-1799,,sewingsolutions@embarqmail.com,http://www.sewingsolutionsnc.com,Debbie Woods-Tyer,"TuThF 10-5, WSa 10-3","M,ME,Q"
